method,scenario,variable,RMSE_orig,MAE_orig,Std_RMSE
mice,20pct,WIND_MEAN,0.8036,0.6208,0.8553
mice,20pct,PRECIP,4.4315,2.6621,0.5776
SAITS_seed42,20pct,TMIN,1.9769,1.5875,0.2897
SAITS_seed42,20pct,TMEAN,1.1363,0.8876,0.1391
SAITS_seed42,20pct,TMAX,2.1655,1.7219,0.2212
SAITS_seed42,20pct,RH_MEAN,6.1032,4.7839,0.4721
SAITS_seed42,20pct,P_MEAN,2.5064,1.9673,0.2404
SAITS_seed42,20pct,WIND_MEAN,0.4999,0.3303,0.5321
SAITS_seed42,20pct,PRECIP,3.7997,1.3871,0.4953
linear,block7d,TMIN,2.8956,2.1673,0.4243
linear,block7d,TMEAN,2.0338,1.4828,0.249
linear,block7d,TMAX,3.3673,2.5333,0.3439
linear,block7d,RH_MEAN,9.4268,7.4549,0.7292
linear,block7d,P_MEAN,13.6856,11.2165,1.3125
linear,block7d,WIND_MEAN,0.8939,0.6688,0.9515
linear,block7d,PRECIP,3.8443,1.4841,0.5011
knn,block7d,TMIN,2.3275,1.6608,0.341
knn,block7d,TMEAN,1.8223,1.0996,0.2231
knn,block7d,TMAX,2.7755,1.9254,0.2834
knn,block7d,RH_MEAN,10.1744,8.1972,0.7871
knn,block7d,P_MEAN,10.4683,8.4713,1.0039
knn,block7d,WIND_MEAN,0.8398,0.6455,0.8938
knn,block7d,PRECIP,4.3068,2.332,0.5614
mice,block7d,TMIN,4.2344,2.5492,0.6205
mice,block7d,TMEAN,3.2609,1.9294,0.3992
mice,block7d,TMAX,4.1226,2.5324,0.421
mice,block7d,RH_MEAN,9.7486,7.7895,0.7541
mice,block7d,P_MEAN,10.2276,8.3745,0.9809
mice,block7d,WIND_MEAN,0.7984,0.6167,0.8498
mice,block7d,PRECIP,4.131,2.5021,0.5385
SAITS_seed42,block7d,TMIN,2.0511,1.6312,0.3006
SAITS_seed42,block7d,TMEAN,1.2387,0.938,0.1516
SAITS_seed42,block7d,TMAX,2.3568,1.8461,0.2407
SAITS_seed42,block7d,RH_MEAN,6.7419,5.2536,0.5215
SAITS_seed42,block7d,P_MEAN,2.7647,2.1148,0.2651
SAITS_seed42,block7d,WIND_MEAN,0.5188,0.352,0.5522
SAITS_seed42,block7d,PRECIP,3.6364,1.2898,0.474
linear,block30d,TMIN,3.479,2.6999,0.5098
linear,block30d,TMEAN,2.9733,2.2199,0.364
linear,block30d,TMAX,4.0696,3.143,0.4156
linear,block30d,RH_MEAN,11.73,9.4656,0.9074
linear,block30d,P_MEAN,12.3958,10.0646,1.1888
linear,block30d,WIND_MEAN,0.8828,0.6516,0.9396
linear,block30d,PRECIP,4.6563,1.9914,0.6069
knn,block30d,TMIN,2.438,1.7207,0.3572
knn,block30d,TMEAN,1.882,1.1401,0.2304
knn,block30d,TMAX,2.9011,1.9739,0.2963
knn,block30d,RH_MEAN,10.392,8.2946,0.8039
knn,block30d,P_MEAN,10.5478,8.5996,1.0116
knn,block30d,WIND_MEAN,0.8436,0.6564,0.8979
knn,block30d,PRECIP,4.3426,2.3498,0.566
mice,block30d,TMIN,4.0533,2.4957,0.5939
mice,block30d,TMEAN,3.1593,1.9038,0.3868
mice,block30d,TMAX,4.1936,2.5824,0.4283
mice,block30d,RH_MEAN,9.832,7.8876,0.7606
mice,block30d,P_MEAN,10.2717,8.3968,0.9851
mice,block30d,WIND_MEAN,0.8175,0.6366,0.8701
mice,block30d,PRECIP,4.4471,2.6152,0.5797
SAITS_seed42,block30d,TMIN,2.2242,1.7692,0.3259
SAITS_seed42,block30d,TMEAN,1.5383,1.1349,0.1883
SAITS_seed42,block30d,TMAX,2.6323,2.0096,0.2688
SAITS_seed42,block30d,RH_MEAN,8.1745,6.3646,0.6323
SAITS_seed42,block30d,P_MEAN,3.8424,2.9718,0.3685
SAITS_seed42,block30d,WIND_MEAN,0.6312,0.4316,0.6718
SAITS_seed42,block30d,PRECIP,3.9903,1.396,0.5201
